user_id,total_contests,total_problems_attempted,total_problems_solved,current_rating,dp_attempted,dp_solved,dp_failure_rate,dp_weakness_score,graphs_attempted,graphs_solved,graphs_failure_rate,graphs_weakness_score,greedy_attempted,greedy_solved,greedy_failure_rate,greedy_weakness_score,math_attempted,math_solved,math_failure_rate,math_weakness_score,strings_attempted,strings_solved,strings_failure_rate,strings_weakness_score,datastructures_attempted,datastructures_solved,datastructures_failure_rate,datastructures_weakness_score,binarysearch_attempted,binarysearch_solved,binarysearch_failure_rate,binarysearch_weakness_score,misc_attempted,misc_solved,misc_failure_rate,misc_weakness_score,recent_contests,recent_problems_attempted,recent_problems_solved,recent_avg_rating,recent_dp_attempted,recent_dp_solved,recent_graphs_attempted,recent_graphs_solved,recent_greedy_attempted,recent_greedy_solved,recent_math_attempted,recent_math_solved,recent_strings_attempted,recent_strings_solved,recent_datastructures_attempted,recent_datastructures_solved,recent_binarysearch_attempted,recent_binarysearch_solved,recent_misc_attempted,recent_misc_solved,target_weakness_score
user_0,38,435,270,1930,71,60,0.596850157946487,0.44583275285359114,86,74,0.45924889196586716,0.33370861113902184,23,2,0.020584494295802447,0.9699098521619943,29,37,0.0007787658410143283,0.9922115592912175,32,75,0.6116531604882809,0.007066305219717406,88,48,0.5247746602583891,0.3998609717152555,91,59,0.3663618432936917,0.45606998421703593,46,61,0.19967378215835974,0.5142344384136116,8,2,4,1446,8,6,17,3,13,1,8,9,1,3,14,11,6,11,7,14,0.17336465350777208
user_1,16,419,49,2211,1,5,0.20794166286818883,0.5677003278199915,92,62,0.8422847745949985,0.44975413336976566,73,61,0.9266588657937942,0.7272719958564209,14,71,0.5704439744053994,0.5208342600258237,61,39,0.8445338486781514,0.7473201101373809,52,23,0.3567533266935893,0.28093450968738076,40,28,0.8021969807540397,0.07455064367977082,70,8,0.7722447692966574,0.1987156815341724,7,10,18,1392,7,2,2,0,4,9,6,9,8,11,6,8,7,11,1,0,0.06355835028602363
user_2,22,61,215,1604,98,43,0.6375574713552131,0.8872127425763265,64,46,0.713244787222995,0.7607850486168974,89,13,0.49379559636439074,0.5227328293819941,14,41,0.4393365018657701,0.2017192023353962,95,51,0.5632755719763837,0.6955160864261275,22,14,0.7555511385430487,0.22879816549162246,31,70,0.289751452913768,0.16122128725400442,65,41,0.808120379564417,0.6334037565104235,5,27,27,2443,11,3,10,9,6,13,0,0,19,12,8,2,6,5,7,10,0.417411003148779
user_3,36,224,233,1483,23,78,0.16829104217293056,0.21876421957307024,87,51,0.363629602379294,0.9717820827209607,51,11,0.25178229582536416,0.49724850589238545,55,58,0.6095643339798968,0.5026790232288615,53,0,0.23956189066697242,0.1448948720912231,43,31,0.552893089071328,0.5926967238793935,54,74,0.36965445606140446,0.24215993827742588,37,23,0.4703006344460384,0.983423140894843,5,10,15,943,0,8,5,12,2,3,3,2,2,14,18,3,6,3,8,0,0.3975720210875223
user_4,38,337,128,1272,49,22,0.5414479738275658,0.6957843993450822,6,15,0.8172222002012158,0.5552008115994623,59,1,0.9962536997579243,0.9654193512887936,68,36,0.8826363431893397,0.18870710834137938,98,18,0.7259556788702394,0.8971102599525771,23,53,0.7798755458576239,0.6420316461542878,74,71,0.7853406511139436,0.6689882547142286,98,24,0.005061583846218687,0.16080805141749865,1,1,21,1986,15,12,8,3,0,3,0,13,15,3,7,6,2,0,0,11,0.50881407683876
user_5,21,374,21,1549,29,37,0.978892858275009,0.4867421529594551,7,26,0.43439436551042865,0.3500784076946757,96,27,0.6689240596630996,0.8641675650719031,60,47,0.2807723624408558,0.02431596643145384,48,16,0.994550510797341,0.46994451399094295,45,5,0.3701587002554444,0.015456616528867428,23,45,0.9666548190436696,0.9636199770892528,96,62,0.30569701928718185,0.19091103115034602,0,2,17,1365,2,7,13,7,17,14,1,14,9,1,16,7,0,8,10,5,0.35949115121975517
user_6,28,169,246,1337,98,49,0.8670723185801037,0.9132405525564713,6,56,0.6278944149486361,0.19427395351204224,7,15,0.050768531039396936,0.8866171489506599,14,65,0.43847412301808697,0.6720261352951994,50,24,0.1550416167277442,0.9818408883105311,21,57,0.8604046183116753,0.25025136051586405,41,69,0.3032655146732228,0.5370824271966554,96,7,0.7699935530986108,0.21582102749684318,4,38,3,1573,12,3,14,2,7,3,15,12,17,11,9,13,18,0,18,11,0.7440426429991154
user_7,25,228,116,1590,8,11,0.4089529444142699,0.17329432007084578,0,33,0.23978735915740323,0.09387329008129175,88,0,0.9548652806631941,0.7378969166957685,62,68,0.6117207462343522,0.4196000624277899,75,25,0.3559726786512616,0.7578461104643691,56,28,0.11607264050691624,0.04600264202175275,93,61,0.7036578593800237,0.4741738290873252,89,47,0.8069129770507795,0.3463043210894008,4,22,25,1321,4,3,1,3,9,9,18,9,0,7,4,12,3,7,15,6,0.9442515971251674
user_8,27,383,159,2298,83,23,0.6771683423829817,0.5733670416719333,32,32,0.811204176736003,0.8206394757439553,11,66,0.8204268437712681,0.651484771857788,42,43,0.27396112732113376,0.21458911970837413,45,1,0.03896313231023363,0.6182538843378929,86,7,0.38539662096556504,0.6816136689727897,33,6,0.11816482762165625,0.6967371653641506,74,28,0.039186326675646255,0.41794603171557876,8,35,9,1256,2,0,2,3,17,0,6,7,4,11,16,6,12,6,2,8,0.37772888617629485
user_9,48,61,83,1528,85,12,0.8955232284962005,0.3892016787341631,11,60,0.9053819764192637,0.09128667678613356,70,27,0.9500619670508049,0.9506071469375561,82,15,0.44844552197831977,0.29321077169806453,24,51,0.6725184560770384,0.75237452943768,22,15,0.7896181427945539,0.09120610304869037,41,57,0.057558760016644284,0.5495288823237355,4,34,0.8877041827582998,0.3509150125520787,1,46,11,1832,9,9,11,0,5,6,13,12,7,9,8,1,1,4,4,5,0.9866395785011755
user_10,47,364,144,1310,70,44,0.7533781852589416,0.37625958553091576,30,18,0.7771469159274368,0.558404249735805,90,73,0.906354385094736,0.11119748230615134,66,44,0.011353644767419069,0.46866064199412627,57,19,0.11881791626807192,0.11752624677710488,38,0,0.681039427096909,0.23750647129246993,62,24,0.8685991281894603,0.22359583851945264,5,57,0.012154474689816341,0.969878826707639,4,15,21,2036,10,11,4,3,2,2,19,8,17,14,8,0,13,14,0,4,0.6969250558638148
user_11,2,143,11,2153,95,15,0.8902637838909163,0.45565675278571294,27,7,0.16967990389556553,0.6468483616687238,7,57,0.22939474570494967,0.26593792496423896,40,63,0.45324084682883103,0.032315951109650465,72,32,0.41120672087218624,0.6027818820232985,28,12,0.9109271844938425,0.822537242923169,81,68,0.6134151959357899,0.4182430362906189,55,29,0.8660638895004084,0.04521867010618941,6,32,21,1888,17,14,16,10,16,12,0,1,8,2,0,4,15,6,5,11,0.8129010091300776
user_12,30,132,258,2260,22,52,0.944765729882428,0.8496473906774115,16,77,0.2050453285065249,0.25144243951179845,44,76,0.20722764900805646,0.8782206674791923,31,33,0.3581627180328405,0.11355759219962902,25,33,0.4762106967890142,0.8313714900625012,49,11,0.8163857352130623,0.967973765439823,93,56,0.5899558971376361,0.48004596701847513,22,78,0.7846682639443096,0.6393613569742423,2,38,5,1563,1,5,17,1,17,13,14,10,18,14,1,3,5,0,14,11,0.29795945154195047
user_13,41,50,80,932,28,3,0.45934680794617244,0.8420914150187097,16,68,0.980032575285477,0.4926180939928696,76,42,0.24014561877819307,0.07586332810866392,22,54,0.5847661059491537,0.40030048891028136,15,7,0.18006727234929853,0.696501466227079,24,66,0.8743176048544171,0.5152360548642109,31,49,0.6019353955409602,0.2238490659063206,20,4,0.34508262782238674,0.3476192144826835,5,20,5,2336,4,8,11,9,13,1,16,13,12,10,8,9,14,8,14,7,0.8735786241067772
user_14,47,60,25,1603,0,7,0.7482596903836584,0.18452101935637732,78,46,0.370472102791382,0.4845229851910213,89,27,0.3689136395697724,0.4625347161331479,25,13,0.1477390919062267,0.13311692858747826,2,22,0.5116774421156661,0.5321134852653157,17,37,0.5326172664550232,0.24247050363472966,88,27,0.02007119777772637,0.3220791655831783,85,43,0.23321641154980122,0.34292686427826025,8,3,9,866,8,12,17,14,3,14,1,14,7,7,16,11,18,9,8,4,0.3630822963986351
user_15,25,319,225,2266,55,58,0.9865152487929797,0.6057748193568872,32,52,0.10178247262040374,0.15285913918433203,3,74,0.08788762454014387,0.8058648867411434,23,54,0.8423140352981816,0.051635477874512836,30,39,0.6969614623664215,0.9972555347683943,5,65,0.57599841780566,0.9173956130855316,78,5,0.9750671629451425,0.49074877925878446,50,61,0.9293759891275858,0.5567628930139298,7,25,18,972,11,4,5,9,3,2,19,0,19,0,11,14,0,9,13,5,0.5812382214226123
user_16,10,355,258,2496,5,49,0.45426797221909965,0.5486031179381532,9,43,0.20173046233023584,0.6845715478798333,83,64,0.13882477344202038,0.0027108994143296705,8,74,0.4731662010518922,0.6061018810558386,34,48,0.8507274600164547,0.7459745255487181,49,77,0.9329380670999546,0.9909294764573906,33,75,0.3792285849638004,0.9264494235897112,63,21,0.04809464396408769,0.7815144817514149,8,36,13,1597,2,4,4,4,18,10,13,9,3,8,12,9,17,7,7,6,0.713782454855326
user_17,31,178,124,1221,96,22,0.43874467538833906,0.5774862709061257,16,65,0.5435528611139886,0.9064721109645469,50,38,0.11689804070836407,0.9398321236134751,6,50,0.3349056146570861,0.13927207266338726,14,28,0.49542362640396564,0.7414609111390454,26,35,0.9976926159238433,0.7524031200388227,26,54,0.14312798554846962,0.20454459316946327,65,9,0.49398148713086265,0.7546352918601166,5,37,12,1982,14,3,12,7,19,7,14,12,7,4,14,3,11,12,1,10,0.6411476328852973
user_18,35,291,281,2106,68,19,0.18159771680142567,0.9084505613336283,37,5,0.4008514167636399,0.4620058036441327,45,11,0.9118524088429647,0.13911619414306187,81,59,0.5929629052588216,0.10221266422519959,67,4,0.9224993811772957,0.7072386343133986,91,30,0.6067150463828559,0.424130671302386,28,77,0.9343670147690148,0.9255685129067763,22,0,0.11323804584075525,0.9848411989623346,3,22,24,1824,18,7,14,4,14,8,8,9,19,8,8,2,19,8,10,5,0.34634599436596125
user_19,17,474,16,1439,42,58,0.4524395161326934,0.14085702037979986,23,24,0.49836777273947974,0.4189254495045479,87,32,0.3623938991166331,0.5805883502780435,21,25,0.013094456588333636,0.6635373720167106,70,48,0.5573053688900479,0.860632017890734,62,60,0.1844628714188561,0.29959591176647704,95,12,0.3973181154575979,0.4267889053367494,55,61,0.20513964048200717,0.19068772066366657,7,18,17,1568,13,2,14,1,1,5,16,1,5,2,3,0,7,12,6,2,0.37330931627975295
user_20,9,466,161,2203,96,54,0.15615259736619036,0.7159722288473975,92,7,0.02709599250348349,0.22197216193294944,87,58,0.5055078791060338,0.5950489797004206,66,50,0.6527461078518747,0.23818278104672652,33,34,0.24317219099945409,0.7222669318556592,45,15,0.3971835296184548,0.6680851365706462,84,13,0.29314773026101326,0.8963358185211198,6,73,0.08550853085446808,0.20788625514602732,2,47,28,1714,3,12,17,1,0,14,4,3,10,9,1,2,11,3,4,4,0.4094116521912404
